id,domanda,coco_id
458752,What is this photo taken looking through?,COCO_train2014_000000458752.jpg

458752,What position is this man playing?,COCO_train2014_000000458752.jpg

458752,What color is the players shirt?,COCO_train2014_000000458752.jpg

458752,Is this man a professional baseball player?,COCO_train2014_000000458752.jpg

262146,What color is the snow?,COCO_train2014_000000262146.jpg

262146,What is the person doing?,COCO_train2014_000000262146.jpg

262146,What color is the persons headwear?,COCO_train2014_000000262146.jpg

524291,What is in the person's hand?,COCO_train2014_000000524291.jpg

524291,Is the dog waiting?,COCO_train2014_000000524291.jpg

524291,Is the dog looking at a tennis ball or frisbee?,COCO_train2014_000000524291.jpg

393221,Is the sky blue?,COCO_train2014_000000393221.jpg

393221,Is there snow on the mountains?,COCO_train2014_000000393221.jpg

393221,What is the white streak?,COCO_train2014_000000393221.jpg

393223,Is the window open?,COCO_train2014_000000393223.jpg

393223,What color is the toothbrush?,COCO_train2014_000000393223.jpg

393223,What is the child doing?,COCO_train2014_000000393223.jpg

393223,Is she brushing?,COCO_train2014_000000393223.jpg

393224,Is the man smiling?,COCO_train2014_000000393224.jpg

393224,What is the business man doing in the picture?,COCO_train2014_000000393224.jpg

393224,Does his tie pair well with his suit?,COCO_train2014_000000393224.jpg

393224,Does the man look happy?,COCO_train2014_000000393224.jpg

393224,Is this photo in color?,COCO_train2014_000000393224.jpg

393224,Is the man wearing a plain tie?,COCO_train2014_000000393224.jpg

524297,"Judging from the dress, was this taken in a Latin American country?",COCO_train2014_000000524297.jpg

524297,What colors are shown in this picture?,COCO_train2014_000000524297.jpg

524297,Are the men on the sidewalk?,COCO_train2014_000000524297.jpg

524297,Was this photo taken recently?,COCO_train2014_000000524297.jpg

393227,Does the guy have a tattoo?,COCO_train2014_000000393227.jpg

393227,What is this man riding on?,COCO_train2014_000000393227.jpg

393227,How many tattoos can be seen on this man's body?,COCO_train2014_000000393227.jpg

393227,What color is his hat?,COCO_train2014_000000393227.jpg

393227,Is the man's visor providing his face enough protection?,COCO_train2014_000000393227.jpg

131084,What color is the jacket?,COCO_train2014_000000131084.jpg

131084,Is the man riding on a dirt path?,COCO_train2014_000000131084.jpg

131084,What is the man riding on?,COCO_train2014_000000131084.jpg

131074,What is on the pillow?,COCO_train2014_000000131074.jpg

131074,How many pieces of furniture which are used for sleeping are featured in this picture?,COCO_train2014_000000131074.jpg

131074,Are the walls done in a summery color?,COCO_train2014_000000131074.jpg

131074,Is the curtain patterned?,COCO_train2014_000000131074.jpg

131074,What is sitting on the bench?,COCO_train2014_000000131074.jpg

131074,Are the windows the same size?,COCO_train2014_000000131074.jpg

393230,What is this person doing?,COCO_train2014_000000393230.jpg

393230,How many people are in this image?,COCO_train2014_000000393230.jpg

393230,Is there a shadow of a tree in the foreground?,COCO_train2014_000000393230.jpg

393230,What is the man doing?,COCO_train2014_000000393230.jpg

393230,What color is the sky?,COCO_train2014_000000393230.jpg

393230,What is the person wearing?,COCO_train2014_000000393230.jpg

393230,Did someone forget his luggage in the snow?,COCO_train2014_000000393230.jpg

393230,What color is his coat?,COCO_train2014_000000393230.jpg

393230,Is it daytime?,COCO_train2014_000000393230.jpg

393230,What is she holding?,COCO_train2014_000000393230.jpg

393230,Is the person wearing a hat?,COCO_train2014_000000393230.jpg

131087,What is the dog riding on?,COCO_train2014_000000131087.jpg

131087,Is the dog wearing a collar?,COCO_train2014_000000131087.jpg

131087,Is it a clear day?,COCO_train2014_000000131087.jpg

131087,Is there a body of water here?,COCO_train2014_000000131087.jpg

131087,What is in the water?,COCO_train2014_000000131087.jpg

131075,"What does the green light, on the TV, indicate?",COCO_train2014_000000131075.jpg

131075,Is the light on?,COCO_train2014_000000131075.jpg

131075,What room of the house is this?,COCO_train2014_000000131075.jpg

131075,What is the size of the TV?,COCO_train2014_000000131075.jpg

131075,Is the room messy?,COCO_train2014_000000131075.jpg

131075,Is this a TV screen?,COCO_train2014_000000131075.jpg

131075,How big is the TV?,COCO_train2014_000000131075.jpg

131075,What companion object to the TV can be seen in the bottom right of the picture?,COCO_train2014_000000131075.jpg

131075,What is the small computer on the left called?,COCO_train2014_000000131075.jpg

131075,What is above the TV?,COCO_train2014_000000131075.jpg

131075,What is on the display?,COCO_train2014_000000131075.jpg

131075,Is there a laptop in the image?,COCO_train2014_000000131075.jpg

131075,Is it a monitor or a screen projection?,COCO_train2014_000000131075.jpg

131075,What is on the TV screen?,COCO_train2014_000000131075.jpg

131075,What is the title of the presentation in the picture?,COCO_train2014_000000131075.jpg

137045,What color is the bear?,COCO_train2014_000000137045.jpg

137045,Is the animal a mammal?,COCO_train2014_000000137045.jpg

137045,What is this?,COCO_train2014_000000137045.jpg

131093,Are there rocks in the picture?,COCO_train2014_000000131093.jpg

131093,Has the sheep recently been shaved?,COCO_train2014_000000131093.jpg

131093,How many sheeps are this?,COCO_train2014_000000131093.jpg

